epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.955,1.36917,2.58697,1.73213,0.00353,1,0.23809,0.09109,2.1298,3.81613,2.5604,0.0006,0.0006,0.0006
2,219.933,1.32248,2.11443,1.66854,0.4119,0.46758,0.33306,0.12893,2.61252,4.26745,3.23401,0.00119584,0.00119584,0.00119584
3,329.11,1.36829,2.06225,1.69703,0.47166,0.5,0.39173,0.14209,1.98553,6.52473,3.21337,0.00176714,0.00176714,0.00176714
4,443.525,1.44916,1.91943,1.69906,0.41641,0.38889,0.38739,0.12894,2.13713,4.44883,3.41045,0.0018812,0.0018812,0.0018812
5,555.437,1.48518,1.96518,1.79207,0.32446,0.61111,0.3657,0.12068,2.00233,4.29708,2.9205,0.0018416,0.0018416,0.0018416
6,666.307,1.46769,1.89814,1.73704,0.41444,0.59031,0.46633,0.17315,2.51868,3.19108,3.08757,0.001802,0.001802,0.001802
7,777.675,1.45748,1.87602,1.75273,0.58568,0.62888,0.54737,0.14853,2.17948,2.54923,3.15343,0.0017624,0.0017624,0.0017624
8,888.692,1.37413,1.70643,1.66822,0.39307,0.38889,0.27949,0.12419,1.87325,3.62352,2.53016,0.0017228,0.0017228,0.0017228
9,999.565,1.43776,1.71928,1.74231,0.75261,0.38889,0.42209,0.15201,1.54102,3.09275,2.17179,0.0016832,0.0016832,0.0016832
10,1110.78,1.39722,1.61393,1.68227,0.48654,0.72222,0.50454,0.16158,1.55769,2.60304,2.28387,0.0016436,0.0016436,0.0016436
11,1221.53,1.42226,1.55873,1.70857,0.9676,0.55556,0.70725,0.25033,2.53435,2.58356,3.58102,0.001604,0.001604,0.001604
12,1332.69,1.35684,1.5755,1.65872,0.6141,0.33333,0.38796,0.12702,1.7913,3.46991,2.30635,0.0015644,0.0015644,0.0015644
13,1443.57,1.36466,1.51155,1.62735,0.64096,0.69497,0.66656,0.23907,1.79689,2.77647,2.53266,0.0015248,0.0015248,0.0015248
14,1554.99,1.42509,1.58838,1.6809,0.55716,0.27778,0.34262,0.11475,2.01039,2.82781,2.55344,0.0014852,0.0014852,0.0014852
